Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
5167,ibuprofen,ESI-,DTXCID2032764,FALSE,368,0.30,,0.68,1.92,12,,201,26
5167,ibuprofen,ESI-,DTXCID20384596,FALSE,368,0.04,,0.68,1.50,110,,208,30
5167,ibuprofen,ESI-,DTXCID20421859,FALSE,368,0.01,,1.07,1.50,213,,47,30
5167,ibuprofen,ESI-,DTXCID2046543,FALSE,368,0.19,,0.54,2.67,17,,274,11
5167,ibuprofen,ESI-,DTXCID20494503,FALSE,368,0.03,,0.95,1.50,151,,66,30
5167,ibuprofen,ESI-,DTXCID20542694,FALSE,368,0.01,,0.63,1.50,209,,233,30
5167,ibuprofen,ESI-,DTXCID20617992,FALSE,368,0.03,,0.76,1.50,152,,152,30
5167,ibuprofen,ESI-,DTXCID20703349,FALSE,368,0.01,,0.82,1.50,219,,124,30
5167,ibuprofen,ESI-,DTXCID20709902,FALSE,368,0.01,,0.65,1.50,219,,229,30
5167,ibuprofen,ESI-,DTXCID20758692,FALSE,368,0.01,,0.99,2.50,230,,54,17
5167,ibuprofen,ESI-,DTXCID20813912,FALSE,368,0.24,,0.93,2.67,13,,75,11
5167,ibuprofen,ESI-,DTXCID20880326,FALSE,368,0.02,,0.55,2.50,165,,268,17
5167,ibuprofen,ESI-,DTXCID20917409,FALSE,368,0.04,,0.98,2.50,102,,56,17
5167,ibuprofen,ESI-,DTXCID20942918,FALSE,368,0.04,,0.87,2.50,90,,98,17
5167,ibuprofen,ESI-,DTXCID20945000,FALSE,368,0.04,,0.52,1.50,109,,284,30
5167,ibuprofen,ESI-,DTXCID20947786,FALSE,368,0.04,,1.13,2.00,106,,45,23
5167,ibuprofen,ESI-,DTXCID20957820,FALSE,368,0.02,,0.76,2.00,160,,151,23
5167,ibuprofen,ESI-,DTXCID20967707,FALSE,368,0.01,,0.78,2.50,230,,138,17
5167,ibuprofen,ESI-,DTXCID20968537,FALSE,368,0.01,,0.86,2.50,230,,105,17
5167,ibuprofen,ESI-,DTXCID20973282,FALSE,368,0.01,,0.59,2.50,216,,250,17
5167,ibuprofen,ESI-,DTXCID20980254,FALSE,368,0.02,,0.68,1.50,159,,205,30
5167,ibuprofen,ESI-,DTXCID301002402,FALSE,368,0.01,,0.85,2.50,230,,108,17
5167,ibuprofen,ESI-,DTXCID301027111,FALSE,368,0.03,,0.66,0.00,156,,217,33
5167,ibuprofen,ESI-,DTXCID301027230,FALSE,368,0.04,,0.42,0.00,86,,342,33
5167,ibuprofen,ESI-,DTXCID301047199,FALSE,368,0.01,,1.01,2.50,230,,52,17
5167,ibuprofen,ESI-,DTXCID301340802,FALSE,368,0.08,,1.53,0.00,42,,13,33
5167,ibuprofen,ESI-,DTXCID301359017,FALSE,368,0.03,,0.78,1.50,148,,139,30
5167,ibuprofen,ESI-,DTXCID301373342,FALSE,368,0.05,,1.07,2.50,78,,48,17
5167,ibuprofen,ESI-,DTXCID301397510,FALSE,368,0.06,,0.59,2.00,59,,253,23
5167,ibuprofen,ESI-,DTXCID301485779,FALSE,368,0.01,,,2.00,230,,,23
5167,ibuprofen,ESI-,DTXCID30234038,FALSE,368,0.04,,1.64,1.50,96,,7,30
5167,ibuprofen,ESI-,DTXCID30235808,FALSE,368,0.01,,0.47,1.50,217,,319,30
5167,ibuprofen,ESI-,DTXCID30275466,FALSE,368,0.05,,1.36,2.50,72,,28,17
5167,ibuprofen,ESI-,DTXCID30336642,FALSE,368,0.04,,1.55,1.50,95,,10,30
5167,ibuprofen,ESI-,DTXCID3034539,FALSE,368,1.01,,0.43,2.41,4,,339,19
5167,ibuprofen,ESI-,DTXCID30452139,FALSE,368,0.03,,0.69,1.50,150,,197,30
5167,ibuprofen,ESI-,DTXCID30461589,FALSE,368,0.02,,1.00,1.67,181,,53,29
5167,ibuprofen,ESI-,DTXCID30464530,FALSE,368,0.02,,0.95,2.50,190,,68,17
5167,ibuprofen,ESI-,DTXCID30544346,FALSE,368,0.03,,1.64,2.67,138,,6,11
5167,ibuprofen,ESI-,DTXCID30583997,FALSE,368,0.02,,0.71,2.00,166,,181,23
5167,ibuprofen,ESI-,DTXCID30591299,FALSE,368,0.01,,1.35,2.50,219,,30,17
5167,ibuprofen,ESI-,DTXCID30593172,FALSE,368,0.01,,0.88,2.50,214,,95,17
5167,ibuprofen,ESI-,DTXCID30815124,FALSE,368,0.06,,0.32,1.67,55,,362,29
5167,ibuprofen,ESI-,DTXCID30815386,FALSE,368,0.18,,0.71,1.88,19,,184,27
5167,ibuprofen,ESI-,DTXCID30817229,FALSE,368,0.04,,0.49,3.00,105,,303,6
5167,ibuprofen,ESI-,DTXCID30869884,FALSE,368,0.01,,0.56,2.00,191,,265,23
5167,ibuprofen,ESI-,DTXCID30878774,FALSE,368,0.02,,0.92,2.50,181,,77,17
5167,ibuprofen,ESI-,DTXCID30914045,FALSE,368,0.02,,0.74,2.50,174,,163,17
5167,ibuprofen,ESI-,DTXCID30917258,FALSE,368,0.01,,0.53,2.50,230,,276,17
5167,ibuprofen,ESI-,DTXCID30928566,FALSE,368,0.01,,1.05,2.50,230,,50,17
5167,ibuprofen,ESI-,DTXCID30937118,FALSE,368,0.03,,0.96,1.50,153,,64,30
5167,ibuprofen,ESI-,DTXCID30986106,FALSE,368,0.01,,0.60,2.00,212,,245,23
5167,ibuprofen,ESI-,DTXCID30997035,FALSE,368,0.02,,0.87,2.00,188,,100,23
5167,ibuprofen,ESI-,DTXCID401000059,FALSE,368,0.01,,0.71,2.50,229,,180,17
5167,ibuprofen,ESI-,DTXCID401007617,FALSE,368,0.02,,0.46,1.50,181,,323,30
5167,ibuprofen,ESI-,DTXCID401012587,FALSE,368,0.02,,0.75,0.00,164,,154,33
5167,ibuprofen,ESI-,DTXCID401046425,FALSE,368,0.01,,0.81,3.00,230,,126,6
5167,ibuprofen,ESI-,DTXCID401048126,FALSE,368,0.01,,0.65,2.00,230,,224,23
5167,ibuprofen,ESI-,DTXCID401390979,FALSE,368,0.01,,0.75,3.00,219,,159,6
5167,ibuprofen,ESI-,DTXCID401397268,FALSE,368,0.03,,0.54,1.00,143,,270,32
5167,ibuprofen,ESI-,DTXCID401398442,FALSE,368,0.06,,1.50,3.00,56,,16,6
5167,ibuprofen,ESI-,DTXCID401398559,FALSE,368,0.02,,1.35,1.00,188,,31,32
5167,ibuprofen,ESI-,DTXCID40144356,FALSE,368,0.06,,0.44,1.50,65,,336,30
5167,ibuprofen,ESI-,DTXCID40220063,FALSE,368,0.04,,1.53,2.50,104,,12,17
5167,ibuprofen,ESI-,DTXCID40231831,FALSE,368,0.03,,0.52,2.50,155,,285,17
5167,ibuprofen,ESI-,DTXCID40240403,FALSE,368,0.06,,1.62,2.50,58,,8,17
