Feature ID,Chemical Name,Ionization Mode,DTXCID,Number of candidate structures for feature,Chemical metadata score,Correct SSM structure,Hazard score,MS2 score (neg),MS2 score (pos),Chemical metadata rank,Hazard rank,MS2 rank (pos),MS2 rank (neg),Sources,Patents,Articles,PubMed Record Count,AMOS methods count,AMOS fact sheets count,AMOS spectra count,Presence in water lists count,Sources_norm,Patents_norm,Articles_norm,PubMed Record Count_norm,AMOS methods count_norm,AMOS fact sheets count_norm,AMOS spectra count_norm,Presence in water lists count_norm
247,amphetamine,ESI+,DTXCID5043009,158,0.2354750130702,False,1.66666666666667,,0.4646301981,25,27,147,,19,2955,83,11,0,0,18,0,0.0745098039215686,0.0171343086262981,0.000824885708606639,0.000148871956583524,0,0,0.142857142857143,0
247,amphetamine,ESI+,DTXCID5043269,158,0.148274092231644,False,2.91666666666667,,0.967473591,31,12,41,,18,1050,17,0,0,0,9,0,0.0705882352941176,0.00608833301442065,0.00016895249453389,0,0,0,0.0714285714285714,0
247,amphetamine,ESI+,DTXCID50442153,158,0.01246631378211,False,1.5,,1.0883277139,107,28,16,,3,121,0,0,0,0,0,0,0.0117647058823529,0.000701607899757047,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID50452151,158,0.00392156862745098,False,1.5,,0.4015506569,140,28,153,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID50463282,158,0.00786053249208602,False,2.5,,0.4298318297,131,17,149,,2,3,0,0,0,0,0,0,0.00784313725490196,1.7395237184059e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID50510528,158,0.0283064246243455,False,2.5,,0.6690576269,77,17,95,,5,128,2,0,0,0,1,0,0.0196078431372549,0.000742196786519851,1.98767640628106e-05,0,0,0,0.00793650793650794,0
247,amphetamine,ESI+,DTXCID50544186,158,0.0124574770308869,False,2.5,,1.0865490661,108,17,17,,3,112,3,1,0,0,0,0,0.0117647058823529,0.00064942218820487,2.98151460942159e-05,1.35338142348658e-05,0,0,0,0
247,amphetamine,ESI+,DTXCID50568524,158,0.0277768836528413,False,2,,0.7813796026,78,24,62,,3,24,0,0,0,0,2,0,0.0117647058823529,0.000139161897472472,0,0,0,0,0.0158730158730159,0
247,amphetamine,ESI+,DTXCID50668417,158,0.0156862745098039,False,1.5,,0.60726238,101,28,119,,4,0,0,0,0,0,0,0,0.0156862745098039,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID50689182,158,0.0118983479141183,False,2,,0.4865025491,113,24,143,,3,19,1,1,0,0,0,0,0.0117647058823529,0.00011016983549904,9.93838203140529e-06,1.35338142348658e-05,0,0,0,0
247,amphetamine,ESI+,DTXCID5072482,158,0.0763348021870768,False,2,,0.5745916453,41,24,129,,11,224,14,1,0,0,4,0,0.0431372549019608,0.00129884437640974,0.000139137348439674,1.35338142348658e-05,0,0,0.0317460317460317,0
247,amphetamine,ESI+,DTXCID5072519,158,0.111093216984351,False,2.5,,0.6543667613,33,17,102,,10,74,2,0,0,0,9,0,0.0392156862745098,0.000429082517206789,1.98767640628106e-05,0,0,0,0.0714285714285714,0
247,amphetamine,ESI+,DTXCID50818334,158,0.437553988098188,False,2.5,,0.9598406122,15,17,43,,47,3838,56,20,0,0,29,0,0.184313725490196,0.0222543067708062,0.000556549393758696,0.000270676284697316,0,0,0.23015873015873,0
247,amphetamine,ESI+,DTXCID50976822,158,0.00785307563693337,False,2.5,,0.5219733663,132,17,137,,2,0,1,0,0,0,0,0,0.00784313725490196,0,9.93838203140529e-06,0,0,0,0,0
